Donghyun,Golden Child,Â Kim Dong Hyun,!NONE!NATIONALITY!,M
Joochan,Golden Child,Â Hong Joo Chan,!NONE!NATIONALITY!,M
Jibeom,Golden Child,Â Kim Jibeom,!NONE!NATIONALITY!,M
Bomin,Golden Child,Â Choi Bomin,Korean,M
Swan,!NONE!GROUP!,Park Su Jin,Korean,F
Chaein,!NONE!GROUP!,Lee Chae Young,Korean,F
Yuki,Purple K!SS,Mori Koyuki,Japanese,F
Ireh,!NONE!GROUP!,Cho Seo Young,Korean,F
Dosie,Purple K!SS,Jang Eun Seong,Korean,F
Goeun,Purple K!SS,Na Go Eun,Korean,F
Jieun,Purple K!SS,Park Ji Eun,Korean,F
TAG,Golden Child,Â Son Youngtaek,!NONE!NATIONALITY!,M
Jangjun,Golden Child,Â Lee Jangjun,!NONE!NATIONALITY!,M
Y,Golden Child,Â Choi Seongyoon,!NONE!NATIONALITY!,M
Yeolmae,!NONE!GROUP!,Im Ji Yeong,!NONE!NATIONALITY!,F
Gaga,!NONE!GROUP!,Li Jia Jia,!NONE!NATIONALITY!,F
Sunshine,Nature,Kim Min Jung,!NONE!NATIONALITY!,F
Uchae,Nature,Â Woo Hye Jun,!NONE!NATIONALITY!,F
Loha,Nature,Kang Ye Jin,!NONE!NATIONALITY!,F
Haru,Nature,Abe Haruno,!NONE!NATIONALITY!,F
Chaebin,Nature,Choi Yu Bin,!NONE!NATIONALITY!,F
Saebom,Nature,Kim Sae Rok,!NONE!NATIONALITY!,F
Aurora,Nature,Wang Mengyu,!NONE!NATIONALITY!,F
Lu,Nature,Im Ha Young,!NONE!NATIONALITY!,F
Siyoon,Mystic Story Girls,Kim Siyoon,Korean,F
Sua,Mystic Story Girls,Moon Su A,Korean,F
Suhyeon,Mystic Story Girls,Kim Su Hyeon,Korean,F
Soomin,Former Mystic Story Girls,Lee Soo Min,Korean,F
Tsuki,Mystic Story Girls,Fukutomi Tsuki,Japanese,F
Haram,Mystic Story Girls,Kim Ha Ram,Korean,F
